CODUSU,ANO4,TRIMESTRE,NRO_HOGAR,REALIZADA,REGION,MAS_500,AGLOMERADO,PONDERA,IV1,IV1_ESP,IV2,IV3,IV3_ESP,IV4,IV5,IV6,IV7,IV7_ESP,IV8,IV9,IV10,IV11,IV12_1,IV12_2,IV12_3,II1,II2,II3,II3_1,II4_1,II4_2,II4_3,II5,II5_1,II6,II6_1,II7,II7_ESP,II8,II8_ESP,II9,V1,V2,V2_02,V2_03,V21_01,V22_01,V3,V4,V5_02,V5_03,V6,V7,V8,V9,V10,V11_01,V11_02,V12,V13,V14,V15,V16,V17,V18,V19_A,V19_B,IX_TOT,IX_MEN10,IX_MAYEQ10,ITF,DECIFR,IDECIFR,RDECIFR,GDECIFR,PDECIFR,ADECIFR,IPCF,DECCFR,IDECCFR,RDECCFR,GDECCFR,PDECCFR,ADECCFR,PONDIH,VII1_1,VII1_2,VII2_1,VII2_2,VII2_3,VII2_4,V5_01,V21_02,V21_03,V22_02,V22_03,V2_01
TQRMNORQYHJMKRCDEFOCD00875201,2024,4,1,1,41,N,8,290,1,,4,1,,2,1,1,1,,1,1,1,1,2,2,2,4,3,2,0,1,1,1,2,0,2,0,1,,2,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,0,4,0,12,12,12,,12,12,0,12,12,12,,12,12,0,1,2,4,0,0,0,2,2,2,2,2,1
TQRMNOPWTHLMKQCDEFOCD00852402,2024,4,1,1,41,N,8,409,1,,2,1,,4,2,1,1,,1,1,1,2,2,2,2,2,2,2,0,1,1,2,2,0,2,0,6,,2,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,0,6,0,12,12,12,,12,12,0,12,12,12,,12,12,0,1,0,98,0,0,0,1,2,2,2,2,0
TQSMNOUVVHKOLPCDEHPJB00875202,2024,4,1,1,40,S,29,381,1,,4,1,,4,1,1,1,,1,1,1,1,2,2,2,4,2,2,0,1,2,2,2,0,2,0,2,,2,,1,1,2,0,0,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,3,0,3,0,12,12,12,12,,12,0,12,12,12,12,,12,0,1,2,98,0,0,0,1,2,2,2,2,0
TQRMNOPRTHKOLQCDEHPJB00868781,2024,4,1,1,40,S,29,399,1,,2,1,,4,1,1,1,,1,1,1,3,2,2,2,2,2,2,0,1,1,1,2,0,2,0,4,,1,,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,985000,5,6,6,5,,7,492500,7,7,8,6,,9,610,2,0,1,0,0,0,2,2,2,1,2,2
TQRMNOQUSHKMLNCDEIIAD00868671,2024,4,1,1,1,S,32,517,2,,4,1,,9,1,1,1,,1,1,1,1,2,2,2,4,2,2,0,1,1,2,2,0,2,0,1,,1,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,1600000,8,,8,8,,6,800000,9,,8,9,,6,801,1,2,98,0,0,0,2,2,2,2,2,0
TQRMNOUURHLOLRCDEIIAD00875203,2024,4,1,1,1,S,32,1668,2,,2,1,,9,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,2,2,2,0,2,0,3,,1,,1,1,2,0,0,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,0,3,550000,3,,2,2,,2,"183333,33",2,,2,2,,1,3272,3,0,1,2,0,0,2,2,2,2,2,0
TQRMNORRUHLOLSCDEIIAD00854854,2024,4,1,1,1,S,32,2186,1,,3,1,,2,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,1,2,2,0,2,0,1,,1,,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,0,3,1420000,7,,7,7,,6,"473333,33",6,,6,6,,4,4495,2,0,98,0,0,0,2,2,2,2,2,2
TQRMNOQYYHJKLLCDEIIAD00875204,2024,4,1,1,1,S,32,532,2,,1,1,,9,1,1,1,,1,1,1,1,1,1,2,1,1,2,0,2,2,2,0,0,0,0,1,,1,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,0,1,1350000,7,,7,7,,6,1350000,10,,10,10,,9,697,1,0,98,0,0,0,2,2,2,2,2,0
TQRMNOSQPHMMLOCDEIIAD00868681,2024,4,1,1,1,S,32,1689,2,,3,1,,1,1,1,1,,1,1,1,1,2,2,2,3,1,1,1,1,2,2,2,0,2,0,1,,1,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,0,1,0,12,,12,12,,12,0,12,,12,12,,12,0,1,0,98,0,0,0,2,2,2,2,2,0
TQRMNOSQSHMMLOCDEIIAD00812135,2024,4,1,1,1,S,32,1589,2,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,1,2,2,0,2,0,3,,1,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,0,3,0,12,,12,12,,12,0,12,,12,12,,12,0,1,2,3,0,0,0,2,2,2,2,2,0
TQRMNOSXYHKLLPCDEIIAD00868682,2024,4,1,1,1,S,32,3794,2,,5,1,,4,1,1,1,,1,1,1,1,2,2,2,5,3,2,0,1,2,2,2,0,2,0,1,,1,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,4,1,3,4500000,10,,10,10,,10,1125000,10,,9,10,,8,7246,2,0,98,0,0,0,2,2,2,2,2,0
TQRMNORTSHMLLQCDEIIAD00868683,2024,4,1,1,1,S,32,1487,1,,3,1,,1,1,1,1,,1,1,1,1,2,2,2,3,1,2,0,1,1,2,2,0,2,0,1,,1,,1,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,0,2,0,12,,12,12,,12,0,12,,12,12,,12,0,97,0,98,0,0,0,2,2,2,2,2,1
TQRMNOSUPHMNLTCDEIIAD00811972,2024,4,1,1,1,S,32,1676,2,,3,1,,9,1,1,1,,1,1,1,1,2,2,2,3,1,2,0,1,1,2,2,0,2,0,1,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,12,,12,12,,12,0,12,,12,12,,12,0,2,0,1,0,0,0,2,2,2,2,2,1
TQRMNOSXRHLOMNCDEGJBF00852940,2024,4,1,1,43,S,13,622,1,,3,1,,2,1,1,1,,1,1,1,2,2,2,2,4,3,2,0,1,2,2,2,0,2,0,1,,2,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,4,0,4,2690000,10,10,10,10,,10,672500,8,8,8,8,,8,756,1,0,98,0,0,0,2,2,2,2,2,0
TQRMNOQSVHKMMPCDEGJBF00868110,2024,4,1,1,43,S,13,901,1,,2,1,,3,1,1,1,,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,0,2,0,3,,1,,1,1,2,0,0,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,1634000,8,9,8,8,,8,817000,9,9,9,9,,9,988,1,2,98,0,0,0,2,2,2,2,2,0
TQRMNOTXYHLMKMCDEIJAH00855164,2024,4,1,1,1,S,33,2194,1,,4,1,,4,1,1,1,,1,1,1,1,2,2,2,4,2,2,0,2,1,2,2,0,2,0,1,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,12,,12,12,,12,0,12,,12,12,,12,0,1,0,2,0,0,0,2,2,2,2,2,1
TQRMNOPVWHJKKMCDEIJAH00875205,2024,4,1,1,1,S,33,2214,1,,5,1,,1,1,1,1,,1,1,1,1,2,2,2,5,1,2,0,1,1,1,2,0,2,0,1,,1,,1,1,2,0,0,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,4150000,10,,10,10,,10,2075000,10,,10,10,,10,4646,96,0,98,0,0,0,2,2,2,2,2,0
TQRMNOPYTHLLKNCDEIJAH00855233,2024,4,1,1,1,S,33,1825,2,,3,1,,2,1,1,1,,1,1,1,1,2,2,2,3,1,2,0,1,2,2,2,0,2,0,1,,1,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,400000,2,,2,2,,2,400000,6,,6,6,,6,2035,1,0,98,0,0,0,2,2,2,2,2,1
TQRMNOSYTHKNKOCDEIJAH00868743,2024,4,1,1,1,S,33,1589,1,,2,1,,3,1,1,2,,1,1,2,2,2,2,2,2,1,2,0,1,1,2,2,0,2,0,1,,1,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,340000,1,,1,1,,1,340000,5,,5,5,,5,1533,1,0,98,0,0,0,2,2,2,2,2,1
TQRMNOPYWHJOKNCDEIJAH00875206,2024,4,1,1,1,S,33,4642,1,,3,1,,2,1,1,2,,1,1,1,2,1,2,2,3,2,2,0,1,2,2,2,0,2,0,4,,1,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,4,0,4,1500000,8,,7,8,,8,375000,5,,5,5,,6,6647,2,0,1,0,0,0,2,2,2,2,2,0
TQRMNOPXTHMMKOCDEIJAH00812408,2024,4,1,1,1,S,33,1829,2,,2,1,,2,1,1,1,,1,1,1,2,2,2,2,2,2,2,0,1,2,2,2,0,2,0,3,,1,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,2,470000,2,,2,2,,2,235000,3,,3,3,,3,2257,1,0,98,0,0,0,2,2,2,2,2,0
TQRMNORPPHMMKOCDEIJAH00812409,2024,4,1,1,1,S,33,1922,1,,5,1,,2,1,1,1,,1,1,1,1,2,2,2,5,3,2,0,1,2,2,2,0,2,0,1,,1,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,3,0,3,0,12,,12,12,,12,0,12,,12,12,,12,0,2,3,1,0,0,0,2,2,2,2,2,0
TQRMNORYVHMMKOCDEIJAH00812410,2024,4,1,1,1,S,33,2462,1,,3,1,,4,1,1,1,,1,1,1,3,2,2,2,3,2,2,0,1,2,2,2,0,2,0,1,,1,,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,4,0,4,0,12,,12,12,,12,0,12,,12,12,,12,0,2,0,98,0,0,0,2,2,2,2,2,2
TQRMNOQSSHJMQUCDEIJAH00875317,2024,4,1,1,1,S,33,1339,1,,3,1,,3,1,1,1,,1,1,1,1,2,2,2,3,3,2,0,1,1,1,2,0,2,0,1,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,3,0,12,,12,12,,12,0,12,,12,12,,12,0,1,0,98,0,0,0,2,2,2,2,2,1
TQRMNOQTPHLNOMCDEIIAD00875318,2024,4,1,1,1,S,32,3358,2,,3,1,,9,1,1,1,,1,1,1,2,2,2,2,3,2,2,0,1,2,2,2,0,2,0,1,,1,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,1,1,2000000,9,,9,9,,7,1000000,9,,9,9,,7,4571,1,0,98,0,0,0,2,2,2,2,2,0
TQRMNORRPHKNOOCDEIIAD00869230,2024,4,1,1,1,S,32,2431,2,,3,1,,2,1,1,1,,1,1,1,1,2,2,2,3,1,2,0,2,2,2,0,0,0,0,3,,1,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0,1,2000000,9,,9,9,,7,2000000,10,,10,10,,10,2920,1,0,98,0,0,0,2,2,2,2,2,0
TQRMNOWSYHLOLQCDEGIBJ00852767,2024,4,1,1,41,N,12,400,1,,3,2,,4,1,1,1,,1,1,1,1,1,1,1,3,2,2,0,2,2,2,0,0,0,0,2,,2,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,4,1,3,1550000,8,8,9,,8,9,387500,6,6,7,,6,7,406,2,0,1,0,0,0,2,2,2,2,2,0
TQRMNOQTQHMNLQCDEGIBJ00809861,2024,4,1,1,41,N,12,322,1,,3,1,,4,1,1,1,,1,1,1,1,1,1,2,3,1,2,0,1,2,1,2,0,2,0,1,,2,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,3,1,2,2000000,9,9,10,,9,10,"666666,67",8,8,9,,8,9,326,1,2,98,0,0,0,2,2,2,2,2,0
TQRMNORYPHKKLLCDEFLID00868337,2024,4,1,1,43,S,5,282,2,,3,1,,9,1,1,1,,1,1,1,1,2,2,2,3,1,2,0,1,1,2,2,0,2,0,3,,1,,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,0,1,0,12,12,12,12,,12,0,12,12,12,12,,12,0,97,0,97,0,0,0,2,2,2,2,2,1
TQRMNOTTQHKKLLCDEFLID00868080,2024,4,1,1,43,S,5,397,1,,2,1,,9,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,2,2,2,0,2,0,1,,1,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0,1,1200000,6,7,7,6,,7,1200000,10,10,10,10,,10,700,1,0,98,0,0,0,2,2,2,2,2,0
TQRMNOTVQHMKLLCDEFLID00809023,2024,4,1,1,43,S,5,426,2,,2,1,,9,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,2,2,2,0,2,0,3,,1,,1,2,2,0,0,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,0,1,300000,1,1,1,1,,1,300000,4,4,4,4,,4,170,1,0,98,0,0,0,2,2,2,2,2,0
TQRMNORVPHKLLMCDEFLID00868065,2024,4,1,1,43,S,5,588,2,,3,1,,9,1,1,1,,1,1,1,1,2,2,2,3,3,2,0,1,1,1,2,0,2,0,3,,1,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,0,4,4000000,10,10,10,10,,10,1000000,9,10,9,9,,10,966,1,0,2,0,0,0,2,2,2,2,2,0
TQRMNOTQTHLLLOCDEFLID00852010,2024,4,1,1,43,S,5,561,2,,2,1,,4,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,1,2,2,0,2,0,1,,1,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0,1,760000,4,4,4,4,,4,760000,8,9,8,8,,9,695,1,0,98,0,0,0,2,2,2,2,2,1
TQRMNOQWXHJLLOCDEFLID00875319,2024,4,1,1,43,S,5,660,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,1,2,0,1,1,1,2,0,2,0,1,,1,,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,690000,3,4,4,3,,3,690000,8,8,8,8,,9,818,1,0,97,0,0,0,2,2,2,2,2,1
TQRMNOPSWHLMLMCDEIJAH00855310,2024,4,1,1,1,S,33,5288,1,,2,2,,2,1,1,2,,1,2,1,2,2,1,2,2,1,2,0,1,2,2,2,0,2,0,1,,2,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,3,0,3,0,12,,12,12,,12,0,12,,12,12,,12,0,1,0,98,0,0,0,2,2,2,2,2,0
TQRMNOPXQHJOLTCDEIJAH00875320,2024,4,1,1,1,S,33,2678,1,,2,1,,1,1,1,2,,1,1,1,3,2,2,2,2,2,2,0,1,1,2,2,0,2,0,1,,2,,1,1,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,1,1,2,2,2,4,0,4,0,12,,12,12,,12,0,12,,12,12,,12,0,1,3,4,0,0,0,2,2,2,2,2,2
TQRMNOQYSHJOLTCDEIJAH00875321,2024,4,1,1,1,S,33,3411,1,,3,1,,4,1,1,1,,1,1,1,2,2,2,2,3,3,2,0,1,2,2,2,0,2,0,1,,1,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,7,2,5,0,12,,12,12,,12,0,12,,12,12,,12,0,2,0,4,0,0,0,1,2,2,2,2,0
TQRMNORWVHJOLTCDEFLID00875322,2024,4,1,1,43,S,5,316,1,,2,1,,4,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,2,2,2,0,2,0,1,,1,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,600000,3,3,3,3,,3,600000,8,8,7,7,,8,493,1,0,98,0,0,0,2,2,2,2,2,1
TQRMNORWXHJOLTCDEFLID00875323,2024,4,1,1,43,S,5,377,1,,2,1,,2,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,1,1,2,0,2,0,3,,1,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,5,1,4,0,12,12,12,12,,12,0,12,12,12,12,,12,0,2,0,1,0,0,0,2,2,2,2,2,0
TQRMNORUQHKNKMCDEIOAH00868072,2024,4,1,1,43,N,38,160,1,,2,1,,1,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,2,2,2,0,2,0,1,,1,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,0,12,12,12,,12,12,0,12,12,12,,12,12,0,1,0,98,0,0,0,2,2,2,2,2,1
TQRMNOWRVHJMOPCDEIIAD00875324,2024,4,1,1,1,S,32,1052,2,,2,1,,9,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,2,2,2,0,0,0,0,3,,4,electricidad,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,0,2,3700000,10,,10,10,,10,1850000,10,,10,10,,10,1682,2,0,1,0,0,0,2,2,2,2,2,0
TQRMNORRSHMMOQCDEIIAD00812109,2024,4,1,1,1,S,32,1332,2,,2,1,,1,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,1,2,2,0,2,0,1,,1,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,0,2,2720000,10,,10,10,,9,1360000,10,,10,10,,9,2301,1,2,98,0,0,0,2,2,2,2,2,0
TQRMNOQPUHKOKMCDEIJAH00867700,2024,4,1,1,1,S,33,2075,1,,5,1,,3,1,1,2,,1,1,1,1,2,2,2,5,3,2,0,1,1,2,2,0,2,0,1,,1,,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,6,1,5,0,12,,12,12,,12,0,12,,12,12,,12,0,2,0,98,0,0,0,2,2,2,2,2,1
TQRMNORSSHLMKMCDEIJAH00855344,2024,4,1,1,1,S,33,2064,2,,2,1,,3,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,2,2,2,0,2,0,1,,1,,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,548000,3,,2,2,,3,274000,4,,3,3,,4,3383,2,0,1,0,0,0,2,2,2,2,2,1
TQRMNOQUXHJOLMCDEFMDB00875325,2024,4,1,1,43,N,6,213,1,,3,1,,2,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,2,2,2,0,2,0,3,,1,,1,1,2,0,0,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,0,12,12,12,,12,12,0,12,12,12,,12,12,0,1,0,98,0,0,0,1,2,2,2,2,0
TQRMNOQTTHJLLUCDEHJGH00875433,2024,4,1,1,40,S,23,143,1,,2,1,,1,2,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,2,2,2,0,2,0,3,,1,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,1,0,1,500000,2,2,3,2,,2,500000,7,7,8,7,,8,151,1,0,98,0,0,0,2,2,2,2,2,0
TQRMNOSPUHJLLUCDEHJGH00875434,2024,4,1,1,40,S,23,545,3,,1,1,,4,1,1,1,,1,1,1,1,2,2,2,1,1,2,0,2,2,2,0,0,0,0,3,,2,,1,1,2,0,0,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,5,2,3,756000,4,4,5,4,,4,151200,2,2,2,2,,2,584,1,0,2,0,0,0,1,2,2,2,2,0
TQRMNOPTYHJMMLCDEHJGH00875435,2024,4,1,1,40,S,23,417,1,,4,1,,3,1,1,1,,1,1,1,1,2,2,2,4,3,2,0,1,2,1,2,0,2,0,1,,1,,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,4,2,2,1410000,7,8,8,7,,7,352500,5,5,7,5,,6,443,2,0,98,0,0,0,2,2,2,2,1,2
TQRMNOQPYHLMMMCDEHJGH00853899,2024,4,1,1,40,S,23,348,1,,7,2,,5,2,1,1,,1,1,1,1,2,2,2,7,3,2,0,2,2,2,0,0,0,0,1,,1,,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,3,2288000,9,10,10,9,,9,"762666,67",8,9,10,8,,9,353,2,0,1,3,0,0,2,2,2,1,2,2
TQRMNOQSPHJMLMCDEFJAH00875436,2024,4,1,1,43,N,3,330,1,,4,1,,4,1,1,1,,1,1,1,1,2,2,2,4,3,2,0,1,1,1,2,0,2,0,1,,1,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,5,0,5,900000,5,5,5,,5,5,180000,2,2,2,,2,1,1066,2,0,98,0,0,0,2,2,2,2,2,0
TQRMNOQSWHJMKNCDEGLDF00875437,2024,4,1,1,41,N,15,129,1,,2,1,,4,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,1,1,2,0,2,0,1,,2,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0,1,1100000,6,7,8,,7,7,1100000,10,10,10,,10,10,130,1,0,98,0,0,0,2,2,2,2,2,1
TQSMNOPYVHLOKUCDEGLDF00853177,2024,4,1,1,41,N,15,287,2,,1,1,,4,1,1,1,,1,1,1,1,2,2,2,1,1,2,0,1,2,2,2,0,2,0,6,,2,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,374000,1,2,2,,2,2,"124666,67",1,1,2,,1,2,290,2,0,98,0,0,0,1,2,2,2,2,0
TQSMNOSWXHKMLLCDEGLDF00875438,2024,4,1,1,41,N,15,193,2,,1,1,,4,1,1,1,,1,1,1,2,2,2,2,1,1,2,0,1,2,2,2,0,2,0,6,,2,,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,4,0,4,761000,4,4,6,,4,6,190250,2,2,3,,2,3,182,1,3,98,0,0,0,2,2,2,2,1,2
TQRMNOQQPHLOKOCDEGGFB00875439,2024,4,1,1,42,S,10,459,2,,3,1,,1,2,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,1,2,2,0,2,0,3,,1,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,0,2,0,12,12,12,12,,12,0,12,12,12,12,,12,0,1,0,2,0,0,0,2,2,2,2,2,0
TQRMNOQRRHMNKSCDEIGED00869322,2024,4,1,1,43,N,30,178,1,,2,1,,1,2,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,2,2,2,0,2,0,6,,2,,1,1,2,0,0,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,0,1,550000,3,3,3,,3,3,550000,7,8,7,,8,6,191,1,0,98,0,0,0,2,2,2,2,2,0
TQRMNOQRRHKOLPCDEGPDJ00869488,2024,4,1,1,40,N,19,175,1,,2,1,,2,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,2,1,2,0,2,0,1,,2,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,415000,2,2,2,,2,2,415000,6,6,8,,6,7,175,1,0,98,0,0,0,2,2,2,2,2,1
TQRMNORWYHMLLMCDEIGED00811727,2024,4,1,1,43,N,30,128,1,,5,1,,1,1,1,1,,1,1,1,1,2,2,2,5,1,2,0,1,2,1,2,0,2,0,1,,1,,1,1,2,0,0,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,0,2,5800000,10,10,10,,10,10,2900000,10,10,10,,10,10,149,1,0,96,0,0,0,2,2,2,2,2,0
TQRMNOTPXHKMLPCDEIGED00869328,2024,4,1,1,43,N,30,176,1,,1,1,,4,1,1,1,,1,1,1,1,2,2,2,1,1,2,0,1,2,2,2,0,2,0,3,,1,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,550000,3,3,3,,3,3,550000,7,8,7,,8,6,180,1,0,98,0,0,0,2,2,2,2,2,0
TQRMNOQRQHJKKMCDEHLEH00875440,2024,4,1,1,40,N,25,203,1,,1,2,,2,2,1,1,,1,1,1,1,2,2,2,1,1,2,0,1,2,2,2,0,2,0,3,,2,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,1,2,360000,1,2,2,,2,2,120000,1,1,1,,1,1,253,1,0,1,0,0,0,2,2,2,2,2,0
TQRMNOPQRHJMKMCDEIHJF00875441,2024,4,1,1,44,N,31,85,1,,4,1,,4,1,1,1,,1,1,1,1,2,2,2,4,1,2,0,1,2,2,2,0,2,0,1,,1,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,1200000,7,7,5,,7,5,1200000,10,10,9,,10,9,87,1,0,98,0,0,0,2,2,2,2,2,0
TQRMNOQRSHLMKSCDEHJGH00853896,2024,4,1,1,40,S,23,223,2,,4,1,,9,1,1,1,,1,1,1,1,2,2,2,4,1,2,0,1,2,2,2,0,2,0,3,,1,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,900000,5,5,6,5,,5,450000,6,7,8,6,,7,223,1,0,2,0,0,0,2,2,2,2,2,0
TQRMNOPVXHJLKQCDEHJGH00875442,2024,4,1,1,40,S,23,162,1,,4,1,,3,1,1,1,,1,1,1,1,2,2,2,4,1,2,0,1,1,2,2,0,2,0,3,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,0,1,1800000,8,9,9,8,,8,1800000,10,10,10,10,,10,172,1,0,98,0,0,0,2,2,2,2,2,1
