CODUSU,ANO4,TRIMESTRE,NRO_HOGAR,REALIZADA,REGION,MAS_500,AGLOMERADO,PONDERA,IV1,IV1_ESP,IV2,IV3,IV3_ESP,IV4,IV5,IV6,IV7,IV7_ESP,IV8,IV9,IV10,IV11,IV12_1,IV12_2,IV12_3,II1,II2,II3,II3_1,II4_1,II4_2,II4_3,II5,II5_1,II6,II6_1,II7,II7_ESP,II8,II8_ESP,II9,V1,V2,V2_02,V2_03,V21_01,V22_01,V3,V4,V5_02,V5_03,V6,V7,V8,V9,V10,V11_01,V11_02,V12,V13,V14,V15,V16,V17,V18,V19_A,V19_B,IX_TOT,IX_MEN10,IX_MAYEQ10,ITF,DECIFR,IDECIFR,RDECIFR,GDECIFR,PDECIFR,ADECIFR,IPCF,DECCFR,IDECCFR,RDECCFR,GDECCFR,PDECCFR,ADECCFR,PONDIH,VII1_1,VII1_2,VII2_1,VII2_2,VII2_3,VII2_4,V5_01,V21_02,V21_03,V22_02,V22_03,V2_01
TQRMNOPWSHKMKNCDEIOAH00867847,2024,4,1,1,43,N,38,113,1,,5,1,,1,1,1,1,,1,1,1,1,2,2,2,4,1,2,0,1,1,1,2,0,2,0,1,,1,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,300000,1,1,1,,1,1,150000,2,2,1,,2,2,173,1,2,98,0,0,0,2,2,2,2,2,0
TQRMNOQQRHJMKPCDEIKAH00874372,2024,4,1,1,43,S,34,772,1,,2,1,,3,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,2,2,2,0,2,0,1,,1,,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,12,12,12,12,,12,0,12,12,12,12,,12,0,1,0,98,0,0,0,2,2,2,2,2,1
TQRMNOSRYHJMKPCDEIKAH00874373,2024,4,1,1,43,S,34,772,1,,2,1,,2,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,1,2,2,0,2,0,1,,1,,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,0,2,400000,2,2,2,2,,2,200000,2,2,2,2,,2,1185,1,0,98,0,0,0,2,2,2,2,2,1
TQRMNOQXVHLMKQCDEIKAH00855796,2024,4,1,1,43,S,34,718,1,,2,1,,3,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,1,1,2,0,2,0,6,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,0,4,0,12,12,12,12,,12,0,12,12,12,12,,12,0,1,0,3,4,0,0,2,2,2,2,2,1
TQRMNOSSSHMLLOCDEHPJB00811609,2024,4,1,1,40,S,29,414,1,,4,1,,1,1,1,1,,1,1,1,1,2,2,2,4,1,1,1,1,1,1,2,0,2,0,6,,1,,1,1,2,0,0,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,2,2,2,1,0,1,900000,5,5,6,5,,6,900000,9,9,10,9,,10,533,1,0,98,0,0,0,2,2,2,2,2,0
TQRMNOPYSHMOLPCDEHPJB00811639,2024,4,1,1,40,S,29,340,1,,4,1,,4,1,1,1,,1,1,1,1,2,1,2,4,1,1,1,1,1,2,2,0,2,0,1,,1,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,0,2,650000,3,4,4,3,,4,325000,5,5,6,4,,7,441,2,0,98,0,0,0,2,2,2,2,2,0
TQRMNOTTTHKOKTCDEHPJB00867869,2024,4,1,1,40,S,29,304,1,,2,1,,2,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,1,2,2,0,2,0,3,,1,,1,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,1,1,2,2,2,2,0,2,0,12,12,12,12,,12,0,12,12,12,12,,12,0,1,2,98,0,0,0,2,2,2,2,2,0
TQRMNOSQWHMKLQCDEHPJB00811640,2024,4,1,1,40,S,29,303,2,,3,1,,2,1,1,1,,1,1,1,1,2,2,2,3,1,2,0,1,1,1,2,0,2,0,3,,1,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0,1,0,12,12,12,12,,12,0,12,12,12,12,,12,0,1,0,98,0,0,0,2,2,2,2,2,0
TQRMNOSXUHMOLRCDEHPJB00811610,2024,4,1,1,40,S,29,655,2,,2,1,,2,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,1,2,2,0,2,0,3,,1,,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,3,0,3,480000,2,2,2,2,,3,160000,2,2,2,2,,2,964,1,0,2,0,0,0,2,2,2,1,2,2
TQRMNOWXTHMOLRCDEHPJB00811611,2024,4,1,1,40,S,29,408,2,,1,1,,9,1,1,1,,1,1,1,1,2,2,2,1,1,2,0,1,2,2,2,0,2,0,3,,1,,1,2,2,0,0,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,0,1,100000,1,1,1,1,,1,100000,1,1,1,1,,1,408,1,0,98,0,0,0,2,2,2,2,2,0
